State,USEFUL_FIPS,County,Obesity_Percent,"Poverty Percent, All Ages",Percent_Less_Than_High_School,Unemployment Rate,obesity_quantile,poverty_quantile,unemployment_quantile,education_quantile,obesity quantile / 4,poverty quantile / 4,unemployment quantile / 4,education quantile / 4,Total Index Value
Alabama,1001,Autauga County,30.9,12.7,14.41,7,3,2,3,4,0.75,0.5,0.75,1,3
Alabama,1003,Baldwin County,26.7,13.9,10.92,7.5,1,3,3,2,0.25,0.75,0.75,0.5,2.25
Alabama,1005,Barbour County,40.8,29,26.34,11.6,6,6,6,6,1.5,1.5,1.5,1.5,6
Alabama,1007,Bibb County,40.1,21.5,22.55,8.5,6,5,4,5,1.5,1.25,1,1.25,5
Alabama,1009,Blount County,32.4,16.2,23.01,6.9,4,3,3,6,1,0.75,0.75,1.5,4
Alabama,1011,Bullock County,44.5,32.3,32.24,10.6,6,6,6,6,1.5,1.5,1.5,1.5,6
Alabama,1013,Butler County,36,26.3,23.7,11.6,6,6,6,6,1.5,1.5,1.5,1.5,6
Alabama,1015,Calhoun County,32,21.4,21.39,8.8,4,5,4,5,1,1.25,1,1.25,4.5
Alabama,1017,Chambers County,39.8,21.5,24.86,9.9,6,5,5,6,1.5,1.25,1.25,1.5,5.5
Alabama,1019,Cherokee County,32.7,19.6,21.66,8,4,5,4,5,1,1.25,1,1.25,4.5
Alabama,1021,Chilton County,37.1,20.1,24.05,7.2,6,5,3,6,1.5,1.25,0.75,1.5,5
Alabama,1023,Choctaw County,38.7,20.8,24.79,10.4,6,5,6,6,1.5,1.25,1.5,1.5,5.75
Alabama,1025,Clarke County,36.1,21.5,21.73,15.2,6,5,6,5,1.5,1.25,1.5,1.25,5.5
Alabama,1027,Clay County,37.7,19.1,23.49,9.5,6,4,5,6,1.5,1,1.25,1.5,5.25
Alabama,1029,Cleburne County,30,18.6,23.96,8.2,3,4,4,6,0.75,1,1,1.5,4.25
Alabama,1031,Coffee County,30.2,15.1,17.64,7.1,3,3,3,5,0.75,0.75,0.75,1.25,3.5
Alabama,1033,Colbert County,36.6,16.2,16.54,8.7,6,3,4,4,1.5,0.75,1,1,4.25
Alabama,1035,Conecuh County,37.2,31.3,22.71,12.1,6,6,6,6,1.5,1.5,1.5,1.5,6
Alabama,1037,Coosa County,38.8,21,24.96,9.3,6,5,5,6,1.5,1.25,1.25,1.5,5.5
Alabama,1039,Covington County,31.6,20.9,21.64,8.3,4,5,4,5,1,1.25,1,1.25,4.5
Alabama,1041,Crenshaw County,36.6,20.1,23.27,8.2,6,5,4,6,1.5,1.25,1,1.5,5.25
Alabama,1043,Cullman County,34.7,18.7,20.25,7.6,5,4,3,5,1.25,1,0.75,1.25,4.25
Alabama,1045,Dale County,36.2,19.1,15.86,7.5,6,4,3,4,1.5,1,0.75,1,4.25
Alabama,1047,Dallas County,42.4,36.8,22.45,13.1,6,6,6,5,1.5,1.5,1.5,1.25,5.75
Alabama,1049,DeKalb County,30.6,18.1,29.4,9.1,3,4,5,6,0.75,1,1.25,1.5,4.5
Alabama,1051,Elmore County,30.3,13.8,13.45,7,3,3,3,3,0.75,0.75,0.75,0.75,3
Alabama,1053,Escambia County,39.4,27.9,23.8,9.3,6,6,5,6,1.5,1.5,1.25,1.5,5.75
Alabama,1055,Etowah County,34.7,21,18.22,8.2,5,5,4,5,1.25,1.25,1,1.25,4.75
Alabama,1057,Fayette County,32.4,17.6,25.13,8.6,4,4,4,6,1,1,1,1.5,4.5
Alabama,1059,Franklin County,34.2,19.5,27.46,8.4,5,5,4,6,1.25,1.25,1,1.5,5
Alabama,1061,Geneva County,34.7,22.8,22.82,7.6,5,5,3,6,1.25,1.25,0.75,1.5,4.75
Alabama,1063,Greene County,45.9,34.1,23.81,13.7,6,6,6,6,1.5,1.5,1.5,1.5,6
Alabama,1065,Hale County,35.9,27.9,22.65,11.6,6,6,6,6,1.5,1.5,1.5,1.5,6
Alabama,1067,Henry County,35.2,19.2,19.86,8.2,6,4,4,5,1.5,1,1,1.25,4.75
Alabama,1069,Houston County,33.6,19,16.11,7.6,5,4,3,4,1.25,1,0.75,1,4
Alabama,1071,Jackson County,30.6,16.4,25.38,8.5,3,4,4,6,0.75,1,1,1.5,4.25
Alabama,1073,Jefferson County,33.7,18.6,12.59,7.4,5,4,3,3,1.25,1,0.75,0.75,3.75
Alabama,1075,Lamar County,32.5,22.5,23.95,7.6,4,5,3,6,1,1.25,0.75,1.5,4.5
Alabama,1077,Lauderdale County,31.6,20.2,16.2,7.7,4,5,3,4,1,1.25,0.75,1,4
Alabama,1079,Lawrence County,36.3,20,22.86,9,6,5,5,6,1.5,1.25,1.25,1.5,5.5
Alabama,1081,Lee County,29.5,23,13.28,6.9,2,5,3,3,0.5,1.25,0.75,0.75,3.25
Alabama,1083,Limestone County,33.5,12.8,18.48,6.9,5,2,3,5,1.25,0.5,0.75,1.25,3.75
Alabama,1085,Lowndes County,46.4,26.6,26.13,15.6,6,6,6,6,1.5,1.5,1.5,1.5,6
Alabama,1087,Macon County,42.4,33.1,20.02,10.8,6,6,6,5,1.5,1.5,1.5,1.25,5.75
Alabama,1089,Madison County,31.2,12.6,9.95,7,3,2,3,2,0.75,0.5,0.75,0.5,2.5
Alabama,1091,Marengo County,41.3,26.5,16.29,10.2,6,6,5,4,1.5,1.5,1.25,1,5.25
Alabama,1093,Marion County,34.9,22.2,25.41,9,6,5,5,6,1.5,1.25,1.25,1.5,5.5
Alabama,1095,Marshall County,35,21.5,23.83,7.8,6,5,4,6,1.5,1.25,1,1.5,5.25
Alabama,1097,Mobile County,36.1,21,16.06,9.1,6,5,5,4,1.5,1.25,1.25,1,5
Alabama,1099,Monroe County,37.2,21.1,23.92,12.7,6,5,6,6,1.5,1.25,1.5,1.5,5.75
Alabama,1101,Montgomery County,33.6,21.7,14.44,8,5,5,4,4,1.25,1.25,1,1,4.5
Alabama,1103,Morgan County,32.2,16.2,18.57,7.8,4,3,4,5,1,0.75,1,1.25,4
Alabama,1105,Perry County,37.8,36.6,29.81,13.5,6,6,6,6,1.5,1.5,1.5,1.5,6
Alabama,1107,Pickens County,37.4,23.4,20.28,10.2,6,6,5,5,1.5,1.5,1.25,1.25,5.5
Alabama,1109,Pike County,34.1,26.7,18.97,8,5,6,4,5,1.25,1.5,1,1.25,5
Alabama,1111,Randolph County,33.2,22.8,27.36,9.2,5,5,5,6,1.25,1.25,1.25,1.5,5.25
Alabama,1113,Russell County,34.8,23.6,19.64,8.8,5,6,4,5,1.25,1.5,1,1.25,5
Alabama,1115,St. Clair County,33.1,15.8,18.04,6.9,5,3,3,5,1.25,0.75,0.75,1.25,4
Alabama,1117,Shelby County,31.3,8.7,8.77,5.1,4,1,1,1,1,0.25,0.25,0.25,1.75
Alabama,1119,Sumter County,39.6,36.5,24.5,10.6,6,6,6,6,1.5,1.5,1.5,1.5,6
Alabama,1121,Talladega County,37.6,23.3,21.1,9.4,6,6,5,5,1.5,1.5,1.25,1.25,5.5
Alabama,1123,Tallapoosa County,36.5,23.5,20.77,8.6,6,6,4,5,1.5,1.5,1,1.25,5.25
Alabama,1125,Tuscaloosa County,32.7,19.5,13.36,7,4,5,3,3,1,1.25,0.75,0.75,3.75
Alabama,1127,Walker County,32.9,21,23.61,9,5,5,5,6,1.25,1.25,1.25,1.5,5.25
Alabama,1129,Washington County,36,21,19.46,12.1,6,5,6,5,1.5,1.25,1.5,1.25,5.5
Alabama,1131,Wilcox County,44.4,36.5,23.9,20.1,6,6,6,6,1.5,1.5,1.5,1.5,6
Alabama,1133,Winston County,28.7,26.4,27.27,10.1,2,6,5,6,0.5,1.5,1.25,1.5,4.75
Alaska,2013,Aleutians East Borough,31.1,15.7,21.52,7,3,3,3,5,0.75,0.75,0.75,1.25,3.5
Alaska,2016,Aleutians West,36.2,9.3,17.27,7,6,1,3,4,1.5,0.25,0.75,1,3.5
Alaska,2020,Anchorage Municipality,27,9,7.54,5.4,1,1,2,1,0.25,0.25,0.5,0.25,1.25
Alaska,2050,Bethel Census Area,31.6,27.6,20.51,15.4,4,6,6,5,1,1.5,1.5,1.25,5.25
Alaska,2060,Bristol Bay Borough,34.1,9.3,8.25,9.6,5,1,5,1,1.25,0.25,1.25,0.25,3
Alaska,2068,Denali Borough,24.7,6.2,11.22,13.7,1,1,6,2,0.25,0.25,1.5,0.5,2.5
Alaska,2070,Dillingham Census Area,35.3,20.7,16.29,9.9,6,5,5,4,1.5,1.25,1.25,1,5
Alaska,2090,Fairbanks North Star,28.6,9.2,6.9,6.1,2,1,2,1,0.5,0.25,0.5,0.25,1.5
Alaska,2100,Haines Borough,26.5,11.8,3.59,10,1,2,5,1,0.25,0.5,1.25,0.25,2.25
Alaska,2105,Hoonah-Angoon 2009 Census,31.5,17.5,11.6,14.4,4,4,6,3,1,1,1.5,0.75,4.25
Alaska,2110,Juneau City and Borough,27,7.9,4.54,5.1,1,1,1,1,0.25,0.25,0.25,0.25,1
Alaska,2122,Kenai Peninsula Borough,28,10.8,7.21,8.6,2,1,4,1,0.5,0.25,1,0.25,2
Alaska,2130,Ketchikan Gateway Borough,29.3,10.7,6.49,7.9,2,1,4,1,0.5,0.25,1,0.25,2
Alaska,2150,Kodiak Island Borough,29.3,8.6,10.35,6.7,2,1,3,2,0.5,0.25,0.75,0.5,2
Alaska,2164,Lake and Peninsula Borough,32.4,17.5,13.23,14.3,4,4,6,3,1,1,1.5,0.75,4.25
Alaska,2170,Matanuska-Susitna Borough,28.9,10.1,7.57,8.6,2,1,4,1,0.5,0.25,1,0.25,2
Alaska,2180,Nome Census Area,33.3,28.6,15.88,11.7,5,6,6,4,1.25,1.5,1.5,1,5.25
Alaska,2185,North Slope Borough,35.3,15.4,14.03,7.5,6,3,3,3,1.5,0.75,0.75,0.75,3.75
Alaska,2188,Northwest Arctic Borough,32.5,22.1,21.34,15.7,4,5,6,5,1,1.25,1.5,1.25,5
Alaska,2195,Petersburg 2009 Census,29.8,10.8,4.27,8.3,3,1,4,1,0.75,0.25,1,0.25,2.25
Alaska,2198,Prince of Wales-Hyder 2009 Census,35.3,17.2,9.01,13.3,6,4,6,2,1.5,1,1.5,0.5,4.5
Alaska,2201,Prince of Wales-Outer K 2004 to 2008 Census,No Data,,,,,,,,0,0,0,0,0
Alaska,2220,Sitka City and Borough,27,8.6,8.8,5.7,1,1,2,1,0.25,0.25,0.5,0.25,1.25
Alaska,2230,Skagway Municipality 2009 Census,30.6,4.2,4.77,13.8,3,1,6,1,0.75,0.25,1.5,0.25,2.75
Alaska,2232,Hoonah-Angoon 2004 to 2008 Census,No Data,,,,,,,,0,0,0,0,0
Alaska,2240,Southeast Fairbanks Census,33,12.8,6.9,12.8,5,2,6,1,1.25,0.5,1.5,0.25,3.5
Alaska,2261,Valdez-Cordova Census Area,30.4,9.5,9,9.7,3,1,5,2,0.75,0.25,1.25,0.5,2.75
Alaska,2270,Wade Hampton Census Area,34.4,28.9,23.36,22.1,5,6,6,6,1.25,1.5,1.5,1.5,5.75
Alaska,2275,Wrangell City and Borough 2009 Census,29.4,11.5,10.96,8.3,2,2,4,2,0.5,0.5,1,0.5,2.5
Alaska,2280,Wrangell-Petersburg 2004 to 2008 Census,No Data,,,,,,,,0,0,0,0,0
Alaska,2282,Yakutat City and Borough,32.1,14.1,6.82,9.7,4,3,5,1,1,0.75,1.25,0.25,3.25
Alaska,2290,Yukon-Koyukuk Census Area,26.5,22.6,19.73,17.4,1,5,6,5,0.25,1.25,1.5,1.25,4.25
Arizona,4001,Apache County,32.8,33.2,25.55,19.1,4,6,6,6,1,1.5,1.5,1.5,5.5
Arizona,4003,Cochise County,24.7,18.8,14.17,9,1,4,5,4,0.25,1,1.25,1,3.5
