Some_zeros,FIPS,USEFUL_FIPS,Geographic Identifier,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Median household income (In 2013 Inflation adjusted dollars),hhold_income_quantiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median household income (In 2013 Inflation adjusted dollars)
0,01001,01001,05000US01001,"Autauga County, Alabama","Autauga County, Alabama",al,53682,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE_T057_001
0,01003,01003,05000US01003,"Baldwin County, Alabama","Baldwin County, Alabama",al,50221,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53682
0,01005,01005,05000US01005,"Barbour County, Alabama","Barbour County, Alabama",al,32911,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50221
0,01007,01007,05000US01007,"Bibb County, Alabama","Bibb County, Alabama",al,36447,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32911
0,01009,01009,05000US01009,"Blount County, Alabama","Blount County, Alabama",al,44145,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36447
0,01011,01011,05000US01011,"Bullock County, Alabama","Bullock County, Alabama",al,32033,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44145
0,01013,01013,05000US01013,"Butler County, Alabama","Butler County, Alabama",al,29918,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32033
0,01015,01015,05000US01015,"Calhoun County, Alabama","Calhoun County, Alabama",al,39962,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29918
0,01017,01017,05000US01017,"Chambers County, Alabama","Chambers County, Alabama",al,32402,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39962
0,01019,01019,05000US01019,"Cherokee County, Alabama","Cherokee County, Alabama",al,34907,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32402
0,01021,01021,05000US01021,"Chilton County, Alabama","Chilton County, Alabama",al,41250,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34907
0,01023,01023,05000US01023,"Choctaw County, Alabama","Choctaw County, Alabama",al,33941,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41250
0,01025,01025,05000US01025,"Clarke County, Alabama","Clarke County, Alabama",al,29357,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33941
0,01027,01027,05000US01027,"Clay County, Alabama","Clay County, Alabama",al,34002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29357
0,01029,01029,05000US01029,"Cleburne County, Alabama","Cleburne County, Alabama",al,38019,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34002
0,01031,01031,05000US01031,"Coffee County, Alabama","Coffee County, Alabama",al,43768,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38019
0,01033,01033,05000US01033,"Colbert County, Alabama","Colbert County, Alabama",al,39077,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43768
0,01035,01035,05000US01035,"Conecuh County, Alabama","Conecuh County, Alabama",al,24658,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39077
0,01037,01037,05000US01037,"Coosa County, Alabama","Coosa County, Alabama",al,37277,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24658
0,01039,01039,05000US01039,"Covington County, Alabama","Covington County, Alabama",al,35869,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37277
0,01041,01041,05000US01041,"Crenshaw County, Alabama","Crenshaw County, Alabama",al,36275,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35869
0,01043,01043,05000US01043,"Cullman County, Alabama","Cullman County, Alabama",al,38847,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36275
0,01045,01045,05000US01045,"Dale County, Alabama","Dale County, Alabama",al,44889,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38847
0,01047,01047,05000US01047,"Dallas County, Alabama","Dallas County, Alabama",al,26519,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44889
